,Сайт http://opencart.qatestlab.net/,Google Chrome 102.0.5005.63,Mozilla Firefox 101.0,Opera 88.0.4412.27,Примечание/Ссылка на баг-репорт
1. Главная страница,,,,,
1.1,Интеграция дизайна (сравнение макета с сайтом),Skipped,Skipped,Skipped,
1.2,Логотип сайта,,,,
a,Проверка наличия логотипа,Passed,Passed,Passed,
1.3,Меню навигации:,,,,
a,Проверка стилей,Failed,Failed,Failed,"Заглавные буквы использованы в названии товара ""HALO PET MICROCHIP SCANNER"" на странице категории ""Fishes"" ."
b,"Изображения категорий (различные размеры, если предусмотрено дизайном)",Failed,Passed,Passed,Адрес электронной почты сдвинут вправо в разделе «Информация о магазине» в подвале сайта
1.4,Баннер,,,,
a,Расположение относительно друг друга,Failed,Failed,Failed,Отступ (промежуток) отсутствует между двумя горизонтальными баннерами на главной странице .
b,Проверка орфографии / грамматики,Failed,Failed,Failed,Текст-заглушка (Lorem ipsum) размещен на баннере в левой области главной страницы ближе к футеру.
1.5,Подвал сайта,,,,
a,Проверка контента в подвале сайта,Failed,Failed,Failed,"Адрес электронной почты сдвинут вправо в разделе ""Информация о магазине"" в подвале сайта"
b,Проверка ссылок на соц. сети в подвале сайта,Passed,Passed,Passed,
c,Наличие сообщения об авторских правах в подвале сайта,Passed,Passed,Passed,
2. Страница товара,,,,,
2.1,Изображение,,,,
a,Соответствие изображения товара его названию,Passed,Passed,Passed,
2.2,Активные элементы,,,,
a,Проверка реагирования активных элементов страницы товара на наведение курсора мыши,Passed,Passed,Passed,
2.3,Характеристики товара,,,,
a,Соответствие товара и его характеристик,Failed,Failed,Failed,"Материал товара различается в разделе ""Характеристики"" (пластик) и на фото (ткань) на странице товара."
3. Прочее,,,,,
3.1,Корректное отображение валюты,Failed,Failed,Failed,Отображение значка валюты не соответствует общепринятым правилам в хедере сайта
3.2,Отсутствие горизонтальной прокрутки после увеличения масштаба страницы до 150%,Passed,Passed,Passed,
3.3,Наличие уведомления после добавления товара в корзину,Passed,Passed,Passed,